date,value,yoy_pct,mom_pct,3m_ann,6m_ann
2000-01-01,1986266,,,,
2000-02-01,1987628,,0.0686,,
2000-03-01,2003675,,0.8073,,
2000-04-01,2022293,,0.9292,7.455,
2000-05-01,2005841,,-0.8135,3.716,
2000-06-01,2001262,,-0.2283,-0.4808,
2000-07-01,2011982,,0.5357,-2.0239,2.6061
2000-08-01,2022187,,0.5072,3.2997,3.5076
2000-09-01,2015210,,-0.345,2.8171,1.1547
2000-10-01,2022687,,0.371,2.1453,0.039
2000-11-01,2019092,,-0.1777,-0.6108,1.3256
2000-12-01,2025182,,0.3016,1.9941,2.4048
2001-01-01,2094231,5.4356,3.4095,14.9168,8.343
2001-02-01,2104954,5.9028,0.512,18.1261,8.3534
2001-03-01,2106179,5.1158,0.0582,16.9836,9.232
2001-04-01,2124789,5.0683,0.8836,5.9656,10.3505
2001-05-01,2142955,6.8357,0.855,7.4192,12.6455
2001-06-01,2158667,7.8653,0.7332,10.3472,13.617
2001-07-01,2157872,7.2511,-0.0368,6.375,6.1701
2001-08-01,2173000,7.4579,0.7011,5.7272,6.5698
2001-09-01,2190698,8.7082,0.8145,6.0687,8.1868
2001-10-01,2202764,8.9029,0.5508,8.5848,7.4742
2001-11-01,2220198,9.9602,0.7915,8.9753,7.3389
2001-12-01,2221922,9.7147,0.0777,5.8242,5.9464
2002-01-01,2247196,7.3041,1.1375,8.3158,8.4502
2002-02-01,2248416,6.8154,0.0543,5.1816,7.0616
2002-03-01,2238965,6.3046,-0.4203,3.1036,4.4551
2002-04-01,2273547,7.0011,1.5446,4.7736,6.53
2002-05-01,2293570,7.0284,0.8807,8.2783,6.7187
2002-06-01,2304238,6.7436,0.4651,12.1812,7.5467
2002-07-01,2323079,7.656,0.8177,9.0034,6.8676
2002-08-01,2340395,7.7034,0.7454,8.4198,8.349
2002-09-01,2369110,8.1441,1.2269,11.7459,11.9633
2002-10-01,2380902,8.087,0.4977,10.3342,9.6668
2002-11-01,2417288,8.8771,1.5282,13.8038,11.0792
2002-12-01,2442884,9.9446,1.0589,13.05,12.396
2003-01-01,2454715,9.2346,0.4843,12.9895,11.654
2003-02-01,2481185,10.3526,1.0783,11.0,12.3932
2003-03-01,2499997,11.6586,0.7582,9.6848,11.3547
2003-04-01,2531994,11.3676,1.2799,13.2,13.0947
2003-05-01,2549757,11.1698,0.7015,11.5215,11.2604
2003-06-01,2558373,11.029,0.3379,9.6724,9.6786
2003-07-01,2576935,10.9276,0.7255,7.291,10.2059
2003-08-01,2607442,11.4103,1.1838,9.3612,10.4361
2003-09-01,2623849,10.7525,0.6292,10.6369,10.1536
2003-10-01,2655345,11.5268,1.2004,12.7379,9.9807
2003-11-01,2663643,10.1914,0.3125,8.9044,9.1326
2003-12-01,2681722,9.7769,0.6787,9.1188,9.8752
2004-01-01,2704804,10.1881,0.8607,7.6612,10.1703
2004-02-01,2722810,9.7383,0.6657,9.1856,9.0449
2004-03-01,2760683,10.4275,1.391,12.3081,10.702
2004-04-01,2776949,9.6744,0.5892,11.1037,9.3689
2004-05-01,2774765,8.8247,-0.0786,7.8538,8.5177
2004-06-01,2796512,9.3082,0.7837,5.2933,8.7441
2004-07-01,2820299,9.4439,0.8506,6.392,8.7223
2004-08-01,2834917,8.7241,0.5183,8.9574,8.4042
2004-09-01,2868123,9.3098,1.1713,10.6431,7.935
2004-10-01,2888055,8.7638,0.6949,9.9616,8.1621
2004-11-01,2913177,9.3681,0.8699,11.508,10.2253
2004-12-01,2905953,8.3615,-0.248,5.3812,7.9801
2005-01-01,2963795,9.5752,1.9905,10.91,10.4348
2005-02-01,2990384,9.8271,0.8971,11.03,11.2688
2005-03-01,3006328,8.898,0.5332,14.5489,9.8695
2005-04-01,3024122,8.9009,0.5919,8.3938,9.6447
2005-05-01,3054725,10.0895,1.012,8.8882,9.9539
2005-06-01,3256960,16.4651,6.6204,37.754,25.6168
2005-07-01,3302577,17.1002,1.4006,42.2377,24.168
2005-08-01,3323473,17.2335,0.6327,40.1136,23.518
