date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,11.0909,,,,,,,100.0,-79.7052
2000-01-04,10.6061,-4.3716,,,,,,95.6284,-80.5924
2000-01-05,10.5227,-0.7857,,,,,,94.8771,-80.7449
2000-01-06,10.9848,4.3916,,,,,,99.0438,-79.8993
2000-01-07,11.1667,1.6552,,,,,,100.6831,-79.5666
2000-01-10,10.9697,-1.7639,-1.0928,,,,,98.9072,-79.927
2000-01-11,10.7879,-1.6575,1.7143,,,,,97.2678,-80.2597
2000-01-12,11.0,1.9663,4.5357,,,,,99.1804,-79.8716
2000-01-13,11.3333,3.0303,3.1724,,,,,102.1858,-79.2616
2000-01-14,11.5985,2.3395,3.867,,,,,104.5765,-78.7765
2000-01-18,11.2121,-3.3311,2.2099,,,,,101.0929,-79.4834
2000-01-19,11.1742,-0.3378,3.5815,,,,,100.7514,-79.5527
2000-01-20,10.9697,-1.8305,-0.2755,,,,,98.9072,-79.927
2000-01-21,10.8333,-1.2432,-4.4118,,,,,97.6776,-80.1766
2000-01-24,10.6364,-1.8181,-8.2952,,,,,95.9017,-80.537
2000-01-25,10.75,1.0683,-4.1216,,,,,96.9263,-80.329
2000-01-26,11.1515,3.735,-0.2034,,,,,100.5465,-79.5943
2000-01-27,11.2727,1.0869,2.7624,,,,,101.6394,-79.3725
2000-01-28,10.8788,-3.4946,0.4196,,,,,98.0874,-80.0934
2000-01-31,11.1818,2.7855,5.1282,,,,,100.8197,-79.5389
2000-02-01,11.2424,0.542,4.5807,,,,,101.3661,-79.428
2000-02-02,11.1288,-1.0108,-0.2038,0.3416,,,,100.3416,-79.6359
2000-02-03,11.0606,-0.6126,-1.8817,4.2858,,,,99.7268,-79.7607
2000-02-04,10.947,-1.0274,0.6268,4.0317,,,,98.7022,-79.9686
2000-02-07,10.8333,-1.0381,-3.1166,-1.3793,,,,97.6776,-80.1766
2000-02-08,10.9545,1.1189,-2.5607,-1.8996,,,,98.7705,-79.9548
2000-02-09,10.697,-2.3512,-3.8802,-2.4862,,,,96.4482,-80.4261
2000-02-10,10.4015,-2.7621,-5.9589,-3.5815,,,,93.7842,-80.9667
2000-02-11,10.4242,0.2185,-4.7751,-5.2342,,,,93.9891,-80.9251
2000-02-14,10.5151,0.8721,-2.937,-7.2193,,,,94.8088,-80.7588
2000-02-15,10.5303,0.1441,-3.8727,-9.2096,,,,94.9454,-80.7311
2000-02-16,10.3106,-2.0863,-3.6119,-8.0405,,,,92.9645,-81.1331
2000-02-17,10.1818,-1.2491,-2.1122,-8.8814,,,,91.8033,-81.3687
2000-02-18,9.8182,-3.5714,-5.814,-10.4973,,,,88.5246,-82.0341
2000-02-22,9.9091,0.9259,-5.7637,-8.5315,,,,89.3443,-81.8678
2000-02-23,9.8712,-0.3822,-6.259,-7.1938,,,,89.0027,-81.9371
2000-02-24,9.6667,-2.0721,-6.2454,-10.0775,,,,87.1585,-82.3114
2000-02-25,9.6061,-0.6269,-5.6547,-13.8587,,,,86.6121,-82.4223
