date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,12.1388,,,,,,,100.0,-84.2874
2000-01-04,11.797,-2.8159,,,,,,97.1841,-84.7298
2000-01-05,12.0054,1.7668,,,,,,98.9011,-84.46
2000-01-06,12.2305,1.875,,,,,,100.7555,-84.1687
2000-01-07,13.0059,6.3395,,,,,,107.1429,-83.165
2000-01-10,12.7141,-2.2436,4.7391,,,,,104.7391,-83.5427
2000-01-11,12.7141,0.0,7.7739,,,,,104.7391,-83.5427
2000-01-12,12.7808,0.5245,6.4583,,,,,105.2885,-83.4564
2000-01-13,12.8475,0.5219,5.0443,,,,,105.8379,-83.3701
2000-01-14,12.8892,0.3244,-0.8975,,,,,106.1813,-83.3161
2000-01-18,12.6724,-1.6817,-0.3279,,,,,104.3957,-83.5967
2000-01-19,12.7641,0.7237,0.3934,,,,,105.1511,-83.478
2000-01-20,12.589,-1.3716,-1.5002,,,,,103.7089,-83.7046
2000-01-21,12.4473,-1.1259,-3.1149,,,,,102.5412,-83.8881
2000-01-24,12.0888,-2.8801,-6.2095,,,,,99.5879,-84.3521
2000-01-25,11.9387,-1.2414,-5.7895,,,,,98.3517,-84.5464
2000-01-26,12.0471,0.9078,-5.6173,,,,,99.2445,-84.4061
2000-01-27,12.2722,1.8685,-2.5167,,,,,101.0989,-84.1147
2000-01-28,12.1722,-0.8152,-2.2103,,,,,100.2747,-84.2442
2000-01-31,12.3973,1.8494,2.5517,,,,,102.1291,-83.9528
2000-02-01,12.2722,-1.0088,2.7932,,,,,101.0989,-84.1147
2000-02-02,12.2972,0.2039,2.0762,1.305,,,,101.305,-84.0823
2000-02-03,12.1305,-1.356,-1.1549,2.8268,,,,99.9313,-84.2982
2000-02-04,12.1221,-0.0687,-0.4109,0.9722,,,,99.8626,-84.3089
2000-02-07,12.1055,-0.1375,-2.3537,-1.0225,,,,99.7253,-84.3305
2000-02-08,12.2555,1.2396,-0.1359,-5.7693,,,,100.9615,-84.1363
2000-02-09,12.1472,-0.8843,-1.2204,-4.4591,,,,100.0687,-84.2766
2000-02-10,11.7386,-3.3631,-3.2303,-7.6722,,,,96.7033,-84.8054
2000-02-11,11.5135,-1.9176,-5.0206,-9.9152,,,,94.8489,-85.0967
2000-02-14,11.5719,0.5068,-4.4078,-9.9287,,,,95.3296,-85.0212
