date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,20.6264,,,,,,,100.0,-85.6881
2000-01-04,19.58,-5.0733,,,,,,94.9267,-86.4142
2000-01-05,19.2893,-1.4846,,,,,,93.5175,-86.6159
2000-01-06,18.6498,-3.3153,,,,,,90.4171,-87.0596
2000-01-07,18.9753,1.7457,,,,,,91.9955,-86.8337
2000-01-10,19.6962,3.799,-4.5096,,,,,95.4904,-86.3335
2000-01-11,19.1381,-2.8335,-2.2565,,,,,92.7847,-86.7208
2000-01-12,19.0567,-0.4253,-1.2055,,,,,92.3901,-86.7772
2000-01-13,19.2311,0.9152,3.1172,,,,,93.2356,-86.6562
2000-01-14,19.673,2.2974,3.6764,,,,,95.3777,-86.3497
2000-01-18,19.7776,0.532,0.4132,,,,,95.885,-86.2771
2000-01-19,19.8125,0.1763,3.5237,,,,,96.0541,-86.2529
2000-01-20,19.9288,0.5869,4.5759,,,,,96.6178,-86.1722
2000-01-21,19.952,0.1167,3.7485,,,,,96.7306,-86.156
2000-01-24,19.3009,-3.2634,-1.8912,,,,,93.5738,-86.6078
2000-01-25,19.7137,2.1386,-0.3233,,,,,95.575,-86.3214
2000-01-26,19.0684,-3.2734,-3.7558,,,,,92.4465,-86.7692
2000-01-27,18.8823,-0.9756,-5.2509,,,,,91.5445,-86.8983
2000-01-28,18.208,-3.5714,-8.7413,,,,,88.2751,-87.3662
2000-01-31,18.8126,3.3206,-2.5301,,,,,91.2063,-86.9467
2000-02-01,19.2079,2.1014,-2.5656,,,,,93.1229,-86.6724
2000-02-02,19.3474,0.7264,1.4634,-6.2007,,,,93.7993,-86.5756
2000-02-03,19.9055,2.8846,5.4187,1.6627,,,,96.5051,-86.1883
2000-02-04,20.1381,1.1682,10.6003,4.4002,,,,97.6325,-86.027
2000-02-07,20.3706,1.1547,8.2818,9.227,,,,98.7599,-85.8656
2000-02-08,20.5566,0.9132,7.0217,8.3333,,,,99.6618,-85.7365
2000-02-09,20.3008,-1.2443,4.9279,3.0697,,,,98.4217,-85.914
2000-02-10,20.7834,2.3769,4.41,8.5966,,,,100.761,-85.5792
2000-02-11,20.2311,-2.6573,0.4619,6.1624,,,,98.0835,-85.9624
2000-02-14,20.2427,0.0574,-0.6279,5.2599,,,,98.1398,-85.9544
2000-02-15,20.3008,0.2872,-1.2443,3.1915,,,,98.4217,-85.914
2000-02-16,20.1962,-0.5155,-0.5155,2.1164,,,,97.9143,-85.9866
2000-02-17,20.6496,2.2452,-0.6434,4.2254,,,,100.1128,-85.672
2000-02-18,19.952,-3.3784,-1.3794,0.1167,,,,96.7306,-86.156
2000-02-22,19.9055,-0.2331,-1.6657,-0.2331,,,,96.5051,-86.1883
2000-02-23,20.5101,3.0374,1.0309,6.2651,,,,99.4363,-85.7688
2000-02-24,20.7659,1.2471,2.8209,5.3376,,,,100.6764,-85.5913
2000-02-25,20.5682,-0.9518,-0.3942,7.8658,,,,99.7181,-85.7285
2000-02-28,20.3241,-1.1871,1.8648,7.6355,,,,98.5344,-85.8979
2000-02-29,20.7892,2.2884,4.4393,14.1763,,,,100.7892,-85.5752
2000-03-01,20.9985,1.0067,2.381,11.6193,,,,101.8038,-85.43
2000-03-02,21.2077,0.9967,2.1277,10.4116,,,,102.8185,-85.2848
2000-03-03,21.7949,2.7687,5.9639,12.6502,,,,105.6652,-84.8773
2000-03-06,21.76,-0.16,7.0652,9.3166,,,,105.4961,-84.9015
2000-03-07,21.1612,-2.7518,1.7897,5.0808,,,,102.593,-85.317
2000-03-08,21.5333,1.7583,2.5471,5.7078,,,,104.3969,-85.0589
2000-03-09,22.1844,3.0237,4.6053,7.9186,,,,107.5536,-84.6071
2000-03-10,22.2309,0.2097,2.0005,9.5075,,,,107.779,-84.5748
2000-03-13,21.9054,-1.4644,0.6679,5.3986,,,,106.2007,-84.8007
2000-03-14,21.4054,-2.2824,1.1538,5.8045,,,,103.7768,-85.1476
2000-03-15,21.0333,-1.7382,-2.3218,3.9058,,,,101.9729,-85.4058
2000-03-16,21.7658,3.4826,-1.8868,7.2165,,,,105.5242,-84.8975
2000-03-17,22.2774,2.3505,0.2092,10.3051,,,,108.0045,-84.5425
2000-03-20,22.1844,-0.4176,1.2739,7.4324,,,,107.5536,-84.6071
2000-03-21,22.7658,2.6205,6.3553,14.1026,,,,110.372,-84.2037
2000-03-22,23.1611,1.7365,10.1161,16.3551,,,,112.2886,-83.9294
2000-03-23,23.6029,1.9076,8.4402,15.0794,,,,114.4307,-83.6228
2000-03-24,23.8064,0.862,6.8632,14.6417,,,,115.4171,-83.4816
2000-03-27,23.9982,0.8058,8.1761,16.6761,,,,116.3472,-83.3485
2000-03-28,23.4169,-2.4224,2.8601,15.2174,,,,113.5288,-83.7519
2000-03-29,22.7309,-2.9295,-1.8574,9.34,,,,110.2029,-84.2279
2000-03-30,22.1147,-2.711,-6.3054,5.3156,,,,107.2154,-84.6555
2000-03-31,22.5332,1.8927,-5.348,6.25,,,,109.2447,-84.365
2000-04-03,21.5798,-4.2311,-10.0775,-0.9869,4.6224,,,104.6224,-85.0266
2000-04-04,21.3705,-0.9699,-8.7388,-1.79,9.1449,,,103.6077,-85.1718
2000-04-05,21.51,0.6529,-5.3709,1.6483,11.5129,,,104.2841,-85.075
2000-04-06,21.7891,1.2973,-1.4721,1.1879,16.833,,,105.637,-84.8814
2000-04-07,22.5332,3.4151,0.0,1.5723,18.75,,,109.2447,-84.365
2000-04-10,21.7193,-3.6119,0.6465,-2.3012,10.2716,,,105.2988,-84.9298
2000-04-11,21.1845,-2.4626,-0.8705,-3.2909,10.6926,,,102.7057,-85.3009
2000-04-12,19.8125,-6.4764,-7.8919,-7.4416,3.9658,,,96.0541,-86.2529
2000-04-13,19.4346,-1.9072,-10.8058,-7.6009,1.0581,,,94.2221,-86.5151
2000-04-14,18.4172,-5.2348,-18.2662,-15.3846,-6.3829,,,89.2898,-87.221
2000-04-17,19.4172,5.4292,-10.5996,-12.8393,-1.8225,,,94.1375,-86.5272
2000-04-18,20.5217,5.6887,-3.1284,-7.4948,3.5798,,,99.4927,-85.7607
2000-04-19,19.8474,-3.2861,0.1761,-12.8192,-0.4084,,,96.2232,-86.2287
2000-04-20,19.673,-0.8788,1.2264,-15.0603,-1.3986,,,95.3777,-86.3497
2000-04-24,19.0684,-3.0732,3.5354,-19.2118,-1.2048,,,92.4465,-86.7692
2000-04-25,20.1729,5.7927,3.8923,-15.2625,2.3297,,,97.8016,-86.0028
2000-04-26,19.7892,-1.902,-3.5694,-17.5387,3.7805,,,95.9414,-86.269
2000-04-27,20.4055,3.114,2.8119,-12.86,8.0665,,,98.929,-85.8414
2000-04-28,20.4636,0.2849,4.0189,-9.9744,12.3883,,,99.2108,-85.8011
2000-05-01,20.7543,1.4205,8.8414,-6.1514,10.3214,,,100.6201,-85.5994
2000-05-02,20.3706,-1.8487,0.9798,-9.5975,6.0532,,,98.7599,-85.8656
2000-05-03,19.4869,-4.3379,-1.5276,-9.6983,0.7212,,,94.4758,-86.4787
2000-05-04,19.3474,-0.716,-5.1852,-9.4668,-2.8037,,,93.7993,-86.5756
2000-05-05,19.8764,2.7343,-2.8694,-7.5946,-1.2991,,,96.3641,-86.2085
2000-05-08,19.173,-3.539,-7.619,-12.0064,-5.879,,,92.9538,-86.6966
2000-05-09,18.8184,-1.8496,-7.6198,-16.486,-8.4558,,,91.2345,-86.9426
2000-05-10,17.9056,-4.8502,-8.1146,-17.5589,-11.7984,,,86.8094,-87.5759
2000-05-11,18.4114,2.8247,-4.8378,-13.09,-11.4126,,,89.2615,-87.225
2000-05-12,18.6498,1.2946,-6.1714,-5.8686,-7.8162,,,90.4171,-87.0596
2000-05-15,18.9986,1.8704,-0.9096,-2.2435,-6.1459,,,92.1082,-86.8176
2000-05-16,19.5683,2.9988,3.9852,6.25,-3.6082,,,94.8704,-86.4223
2000-05-17,19.2893,-1.426,7.7273,-0.6586,-4.4905,,,93.5175,-86.6159
2000-05-18,18.8009,-2.5316,2.1156,-8.3852,-8.9527,,,91.15,-86.9547
2000-05-19,18.0684,-3.8961,-3.1172,-8.9631,-9.4406,,,87.5987,-87.463
2000-05-22,17.987,-0.4505,-5.3244,-8.5697,-9.6379,,,87.2041,-87.5195
2000-05-23,17.115,-4.8481,-12.5371,-10.2439,-16.5533,,,82.9763,-88.1245
2000-05-24,17.7894,3.9402,-7.7758,-11.8156,-14.3337,,,86.2458,-87.6566
2000-05-25,17.4987,-1.634,-6.9264,-11.5746,-14.9236,,,84.8365,-87.8583
2000-05-26,17.5569,0.3323,-2.8314,-13.9601,-13.6155,,,85.1184,-87.818
2000-05-30,18.6963,6.49,3.9431,-8.6364,-10.0671,,,90.6426,-87.0273
2000-05-31,18.3359,-1.9279,7.1332,-11.6527,-12.68,,,88.8952,-87.2774
2000-06-01,19.1614,4.5022,7.7124,-5.9361,-9.6491,,,92.8974,-86.7046
2000-06-02,20.0334,4.551,14.4851,2.8043,-8.0821,,,97.1252,-86.0996
2000-06-05,20.0915,0.2901,14.437,3.8461,-7.6677,,,97.407,-86.0592
2000-06-06,19.8125,-1.3889,5.9701,-0.3217,-6.3736,,,96.0541,-86.2529
2000-06-07,20.1846,1.878,10.0825,5.276,-6.2635,,,97.858,-85.9947
2000-06-08,20.0915,-0.4609,4.8544,6.7655,-9.434,,,97.407,-86.0592
2000-06-09,20.1381,0.2315,0.5223,12.4676,-9.4142,,,97.6325,-86.027
2000-06-12,19.7195,-2.0785,-1.8518,7.1046,-9.9788,,,95.6032,-86.3174
2000-06-13,20.1381,2.1226,1.6432,7.9801,-5.9207,,,97.6325,-86.027
2000-06-14,19.766,-1.8476,-2.0738,4.0391,-6.0254,,,95.8286,-86.2851
2000-06-15,20.1613,2.0,0.3472,3.0303,-7.3718,,,97.7452,-86.0108
2000-06-16,20.2311,0.3461,0.4619,4.8825,-9.1858,,,98.0835,-85.9624
2000-06-19,20.8706,3.1609,5.8373,11.008,-5.9224,,,101.1838,-85.5187
2000-06-20,20.9287,0.2785,3.9261,15.8301,-8.0695,,,101.4656,-85.4784
2000-06-21,21.1147,0.8889,6.8236,17.3885,-8.8353,,,102.3675,-85.3493
2000-06-22,20.4636,-3.0837,1.4994,19.5652,-13.3005,,,99.2108,-85.8011
2000-06-23,20.0276,-2.1307,-1.0058,12.5817,-15.873,,,97.097,-86.1036
2000-06-26,20.1613,0.6676,-3.3984,15.2159,-15.9883,,,97.7452,-86.0108
2000-06-27,19.9636,-0.9804,-4.6111,13.7086,-14.7468,,,96.7869,-86.148
2000-06-28,20.1613,0.9901,-4.5154,7.8358,-11.3043,,,97.7452,-86.0108
2000-06-29,19.766,-1.9608,-3.4091,7.7996,-10.6204,,,95.8286,-86.2851
2000-06-30,20.1613,2.0,0.6676,5.2185,-10.5263,,,97.7452,-86.0108
2000-07-03,20.3008,0.692,0.692,1.3348,-5.9268,-1.5783,,98.4217,-85.914
2000-07-05,19.6497,-3.2073,-1.5725,-2.1991,-8.0522,0.3563,,95.265,-86.3658
2000-07-06,19.952,1.5385,-1.0381,0.7042,-7.2432,3.4358,,96.7306,-86.156
2000-07-07,20.2776,1.6317,2.5882,0.4608,-6.9371,8.7282,,98.3089,-85.9302
2000-07-10,20.0567,-1.0894,-0.519,-0.1736,-10.9907,5.6985,,97.2379,-86.0834
2000-07-11,19.8939,-0.8116,-2.0046,-1.2125,-8.4047,1.0036,,96.4487,-86.1964
2000-07-12,20.4055,2.5716,3.8461,3.4788,-3.6773,6.6221,,98.929,-85.8414
2000-07-13,20.8008,1.9374,4.2541,3.291,4.9883,9.152,,100.8456,-85.5671
2000-07-14,21.1845,1.8446,4.4725,7.1765,9.0039,10.1572,,102.7057,-85.3009
2000-07-17,21.3589,0.8233,6.4927,5.94,15.9722,8.5698,,103.5513,-85.1799
2000-07-18,20.9287,-2.0141,5.2016,3.4482,7.7845,5.8201,,101.4656,-85.4784
2000-07-19,20.4636,-2.2222,0.2849,-1.9499,-0.2833,3.2864,,99.2108,-85.8011
2000-07-20,20.8938,2.1023,0.4471,-0.1667,5.2724,4.8425,,101.2965,-85.5026
2000-07-21,20.4404,-2.1703,-3.5126,-3.1938,3.9007,2.4475,,99.0981,-85.8172
2000-07-24,19.9404,-2.446,-6.6413,-2.5569,4.5731,3.3132,,96.6741,-86.1641
2000-07-25,20.2776,1.691,-3.1111,1.2482,0.5187,2.8605,,98.3089,-85.9302
2000-07-26,20.0102,-1.3188,-2.2159,-0.7497,1.1163,4.939,,97.0124,-86.1157
2000-07-27,19.4288,-2.9053,-7.0117,-2.679,-4.7863,2.8941,,94.1939,-86.5191
2000-07-28,18.7079,-3.7104,-8.4755,-7.2088,-8.5795,2.7459,,90.699,-87.0193
2000-07-31,19.0916,2.051,-4.2565,-3.4117,-8.0112,1.4833,,92.5592,-86.753
2000-08-01,18.8707,-1.1571,-6.938,-6.4014,-7.363,-1.7554,,91.4882,-86.9063
2000-08-02,18.7893,-0.4313,-6.1011,-7.4456,-3.58,-2.8846,,91.0936,-86.9628
2000-08-03,19.1498,1.9183,-1.4363,-2.5444,-1.0216,-3.7967,,92.841,-86.7127
2000-08-04,19.1498,0.0,2.3617,-4.021,-3.656,-4.9076,,92.841,-86.7127
2000-08-07,19.5451,2.0643,2.3751,-3.6124,1.9405,-4.0525,,94.7576,-86.4384
2000-08-08,19.58,0.1785,3.7584,-2.3768,4.0469,-4.7511,,94.9267,-86.4142
2000-08-09,19.6497,0.3563,4.5792,-1.2274,9.7403,-3.2073,,95.265,-86.3658
2000-08-10,19.2311,-2.1302,0.425,-5.755,4.4522,-7.4685,,93.2356,-86.6562
2000-08-11,19.3009,0.3627,0.7893,-7.2108,3.4913,-4.5978,,93.5738,-86.6078
2000-08-14,19.6962,2.0482,0.7734,-7.0252,3.672,-2.6996,,95.4904,-86.3335
2000-08-15,19.7427,0.2361,0.8313,-7.5667,0.8912,-2.7492,,95.7159,-86.3013
2000-08-16,19.766,0.1178,0.5917,-5.5556,2.4713,-2.1301,,95.8286,-86.2851
2000-08-17,20.1381,1.8824,4.7158,-1.5909,7.1119,-2.4775,,97.6325,-86.027
2000-08-18,20.1613,0.1155,4.4578,-3.5058,11.583,1.0489,,97.7452,-86.0108
2000-08-21,20.2543,0.4614,2.8336,-0.9101,12.6051,1.7524,,98.1962,-85.9463
2000-08-22,20.2543,0.0,2.5913,1.5744,18.3424,-1.2471,,98.1962,-85.9463
2000-08-23,20.452,0.9759,3.4706,0.8601,14.9673,-1.5117,,99.1545,-85.8091
2000-08-24,20.6438,0.9381,2.5116,3.1668,17.9735,0.3675,,100.0846,-85.676
2000-08-25,20.5741,-0.3379,2.0473,5.8947,17.1854,1.23,,99.7464,-85.7244
2000-08-28,20.7426,0.8194,2.4109,10.8763,10.9452,-0.2238,,100.5637,-85.6075
2000-08-29,20.7659,0.1121,2.5258,8.7697,13.253,-1.1075,,100.6764,-85.5913
2000-08-30,20.6264,-0.6719,0.8528,9.3037,7.6456,-2.7412,,100.0,-85.6881
2000-08-31,21.0333,1.9729,1.8867,11.9431,4.9912,-3.4943,,101.9729,-85.4058
2000-09-01,21.045,0.0553,2.2888,9.8968,4.7454,-3.2861,,102.0293,-85.3977
2000-09-05,20.5682,-2.2652,-0.8408,7.4074,3.8145,-2.8022,,99.7181,-85.7285
2000-09-06,20.045,-2.5438,-3.4714,2.558,-0.6913,-6.9115,,97.1815,-86.0915
2000-09-07,20.3706,1.6241,-1.2401,4.038,1.3889,-8.1761,,98.7599,-85.8656
2000-09-08,19.7195,-3.1963,-6.2465,0.355,-2.0785,-11.2971,,95.6032,-86.3174
2000-09-11,19.2079,-2.5943,-8.7293,-0.1209,-2.5943,-12.3142,,93.1229,-86.6724
2000-09-12,18.9288,-1.4528,-7.9706,-1.9277,-6.0046,-11.5698,,91.77,-86.866
2000-09-13,19.1149,0.9828,-4.6404,-2.9516,-3.2941,-9.1211,,92.6719,-86.7369
2000-09-14,19.2195,0.5475,-5.6507,-2.6502,-4.6713,-11.6987,,93.1793,-86.6643
2000-09-15,18.8881,-1.7241,-4.2158,-4.4411,-6.638,-15.214,,91.5727,-86.8942
2000-09-18,18.4638,-2.2468,-3.8741,-8.3141,-11.532,-16.7715,,89.5152,-87.1887
