date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,5.5131,,,,,,,100.0,-87.1431
2000-01-04,5.3468,-3.0164,,,,,,96.9836,-87.5309
2000-01-05,5.4817,2.5235,,,,,,99.4309,-87.2163
2000-01-06,5.4723,-0.1718,,,,,,99.2601,-87.2383
2000-01-07,5.5193,0.8601,,,,,,100.1139,-87.1285
2000-01-10,5.5382,0.3411,0.4554,,,,,100.4554,-87.0846
2000-01-11,5.4785,-1.0766,2.4647,,,,,99.3739,-87.2236
2000-01-12,5.4221,-1.0309,-1.0876,,,,,98.3495,-87.3553
2000-01-13,5.3719,-0.9259,-1.8348,,,,,97.4389,-87.4724
2000-01-14,5.4158,0.8177,-1.8761,,,,,98.2357,-87.37
2000-01-18,5.3938,-0.4055,-2.6063,,,,,97.8373,-87.4212
2000-01-19,5.397,0.0582,-1.4891,,,,,97.8942,-87.4139
2000-01-20,5.4221,0.4651,0.0,,,,,98.3495,-87.3553
2000-01-21,5.5978,3.2407,4.2056,,,,,101.5368,-86.9456
2000-01-24,5.5225,-1.3453,1.9699,,,,,100.1708,-87.1212
2000-01-25,5.3938,-2.3296,0.0,,,,,97.8373,-87.4212
2000-01-26,5.3687,-0.4653,-0.5232,,,,,97.382,-87.4797
2000-01-27,5.3342,-0.643,-1.6204,,,,,96.7559,-87.5602
2000-01-28,5.306,-0.5294,-5.213,,,,,96.2436,-87.6261
2000-01-31,5.5507,4.6127,0.5114,,,,,100.683,-87.0553
2000-02-01,5.5099,-0.7349,2.1524,,,,,99.9431,-87.1504
2000-02-02,5.4817,-0.5125,2.104,-0.5691,,,,99.4309,-87.2163
2000-02-03,5.4723,-0.1718,2.5882,2.3474,,,,99.2601,-87.2383
2000-02-04,5.444,-0.5161,2.602,-0.6869,,,,98.7479,-87.3041
2000-02-07,5.4283,-0.2882,-2.2046,-0.8027,,,,98.4633,-87.3407
2000-02-08,5.4409,0.2312,-1.2529,-1.4213,,,,98.691,-87.3114
2000-02-09,5.4409,0.0,-0.7442,-1.7564,,,,98.691,-87.3114
2000-02-10,5.3624,-1.4418,-2.007,-2.1192,,,,97.268,-87.4944
2000-02-11,5.2683,-1.7553,-3.2276,-2.8356,,,,95.5607,-87.7139
2000-02-14,5.2746,0.1191,-2.8324,-1.8108,,,,95.6745,-87.6993
2000-02-15,5.262,-0.2379,-3.2872,-2.8389,,,,95.4468,-87.7285
2000-02-16,5.2401,-0.4174,-3.6909,-2.8505,,,,95.0484,-87.7797
2000-02-17,5.2087,-0.5988,-2.8671,-3.4884,,,,94.4793,-87.8529
2000-02-18,5.0173,-3.6747,-4.7647,-7.4653,,,,91.0075,-88.2993
2000-02-22,4.9985,-0.3752,-5.235,-10.7063,,,,90.666,-88.3432
2000-02-23,4.8949,-2.0716,-6.9768,-11.3637,,,,88.7877,-88.5847
2000-02-24,4.7317,-3.3334,-9.7006,-12.2746,,,,85.8281,-88.9652
2000-02-25,4.7067,-0.5304,-9.6385,-12.332,,,,85.3729,-89.0237
2000-02-28,4.8416,2.8666,-3.5022,-9.2353,,,,87.8202,-88.7091
2000-02-29,4.8761,0.7129,-2.4483,-8.1018,,,,88.4462,-88.6286
2000-03-01,5.0895,4.3758,3.9743,-8.3098,,,,92.3165,-88.131
2000-03-02,5.2212,2.5895,10.3449,-5.2392,,,,94.707,-87.8236
2000-03-03,5.2683,0.9014,11.9333,-3.8924,,,,95.5607,-87.7139
2000-03-06,5.1208,-2.7993,5.768,-6.422,,,,92.8857,-88.0578
2000-03-07,5.0612,-1.1642,3.7967,-7.0317,,,,91.8043,-88.1968
2000-03-08,5.0957,0.682,0.1234,-6.1271,,,,92.4303,-88.1163
2000-03-09,5.1365,0.8005,-1.6226,-5.594,,,,93.1702,-88.0212
2000-03-10,5.1365,0.0,-2.5015,-5.594,,,,93.1702,-88.0212
2000-03-13,5.1522,0.3054,0.6127,-3.9204,,,,93.4548,-87.9846
2000-03-14,5.1177,-0.6699,1.1159,-2.8589,,,,92.8287,-88.0651
2000-03-15,5.1459,0.5518,0.9851,-2.4391,,,,93.3409,-87.9993
2000-03-16,5.3468,3.9025,4.0928,1.61,,,,96.9836,-87.5309
2000-03-17,5.3898,0.8046,4.9303,2.8569,,,,97.7639,-87.4306
2000-03-20,5.3676,-0.4106,4.1813,3.0516,,,,97.3624,-87.4822
2000-03-21,5.3329,-0.6478,4.2045,6.2899,,,,96.7317,-87.5633
2000-03-22,5.2096,-2.3118,1.2369,4.2238,,,,94.4955,-87.8508
2000-03-23,5.2981,1.699,-0.9101,8.2367,,,,96.1009,-87.6444
2000-03-24,5.2475,-0.9546,-2.6394,10.9002,,,,95.1835,-87.7624
2000-03-27,5.3202,1.3856,-0.8834,13.0363,,,,96.5024,-87.5928
2000-03-28,5.2949,-0.4753,-0.7113,9.364,,,,96.0437,-87.6518
2000-03-29,5.3898,1.7911,3.4587,10.5348,,,,97.7639,-87.4306
2000-03-30,5.3771,-0.2346,1.4917,5.6523,,,,97.5345,-87.4601
2000-03-31,5.4087,0.5878,3.0723,3.5909,,,,98.1078,-87.3864
2000-04-03,5.4435,0.6429,2.3173,3.3255,-1.2614,,,98.7386,-87.3053
2000-04-04,5.5194,1.3937,4.2388,7.7828,3.2286,,,100.1147,-87.1284
2000-04-05,5.5921,1.3173,3.7536,10.4889,2.0141,,,101.4336,-86.9588
2000-04-06,5.6269,0.6218,4.6442,10.4229,2.825,,,102.0642,-86.8777
2000-04-07,5.6111,-0.2808,3.7406,9.2383,1.6618,,,101.7776,-86.9146
2000-04-10,5.5984,-0.2254,2.8456,8.9921,1.0879,,,101.5482,-86.9441
2000-04-11,5.7438,2.5974,4.0664,11.4826,4.8422,,,104.1859,-86.605
2000-04-12,5.7944,0.8806,3.6179,13.2228,6.8671,,,105.1033,-86.487
2000-04-13,5.8007,0.1092,3.09,12.7244,7.9836,,,105.218,-86.4723
2000-04-14,5.5889,-3.6513,-0.3944,4.5293,3.197,,,101.3762,-86.9662
2000-04-17,5.5036,-1.5271,-1.694,2.1114,2.0348,,,99.8281,-87.1652
2000-04-18,5.5194,0.2872,-3.9075,2.8269,2.2683,,,100.1147,-87.1284
2000-04-19,5.57,0.9164,-3.8734,4.4458,2.7277,,,101.0322,-87.0104
2000-04-20,5.5889,0.3405,-3.6513,7.2815,-0.1581,,,101.3762,-86.9662
2000-04-24,5.7407,2.7149,2.7149,8.3533,3.9509,,,104.1285,-86.6123
2000-04-25,5.9114,2.9736,7.4095,12.6506,9.5951,,,107.2248,-86.2142
2000-04-26,5.8987,-0.2139,6.8728,10.8734,9.8719,,,106.9955,-86.2437
2000-04-27,5.7659,-2.2508,3.5188,8.8955,8.0939,,,104.5872,-86.5534
2000-04-28,5.7628,-0.0548,3.1109,6.9208,8.6097,,,104.5299,-86.5607
2000-05-01,5.7628,0.0,0.3855,7.1723,3.8208,,,104.5299,-86.5607
2000-05-02,5.5542,-3.6204,-6.0428,2.6885,0.8028,,,100.7455,-87.0473
2000-05-03,5.5731,0.3415,-5.5198,2.381,1.6681,,,101.0895,-87.003
2000-05-04,5.5636,-0.1702,-3.5088,0.8018,1.6697,,,100.9175,-87.0252
2000-05-05,5.5763,0.2273,-3.2365,-0.2826,2.4294,,,101.1469,-86.9957
2000-05-08,5.6142,0.6802,-2.5782,-0.2247,3.4242,,,101.8349,-86.9072
2000-05-09,5.5952,-0.3378,0.7399,-0.2817,2.837,,,101.4909,-86.9514
2000-05-10,5.7027,1.9209,2.3255,1.8633,4.8124,,,103.4404,-86.7008
2000-05-11,5.7881,1.4967,4.0341,0.7705,7.9374,,,104.9886,-86.5017
2000-05-12,5.6964,-1.5839,2.1542,-1.6912,8.1258,,,103.3257,-86.7155
2000-05-15,5.807,1.9423,3.4347,0.109,10.0948,,,105.3326,-86.4575
2000-05-16,5.7818,-0.4355,3.3333,3.4502,9.8767,,,104.8739,-86.5165
2000-05-17,5.6932,-1.5308,-0.1663,3.4463,8.6482,,,103.2684,-86.7229
2000-05-18,5.7407,0.8328,-0.8192,4.0092,10.2131,,,104.1285,-86.6123
2000-05-19,5.6332,-1.8722,-1.1098,1.1351,12.2754,,,102.179,-86.863
2000-05-22,5.6711,0.6734,-2.3408,1.4706,13.4572,,,102.867,-86.7745
2000-05-23,5.5668,-1.8394,-3.7178,-3.0286,13.7261,,,100.9749,-87.0178
2000-05-24,5.6616,1.7036,-0.5553,-4.2246,19.652,,,102.695,-86.7966
2000-05-25,5.5668,-1.675,-3.0286,-5.627,18.2751,,,100.9749,-87.0178
2000-05-26,5.6774,1.9875,0.7856,-1.5351,17.2643,,,102.9817,-86.7598
2000-05-30,5.7185,0.7238,0.8361,-0.768,17.2771,,,103.7271,-86.6639
2000-05-31,5.7501,0.5528,3.2936,-0.2194,12.9815,,,104.3006,-86.5902
2000-06-01,5.7912,0.7147,2.2892,4.2686,10.9168,,,105.046,-86.4944
2000-06-02,5.7723,-0.3276,3.691,3.5734,9.5658,,,104.7018,-86.5386
2000-06-05,5.6395,-2.3001,-0.6682,1.3637,10.1285,,,102.2936,-86.8482
