date,value,pct_1d,pct_1w,pct_1m,pct_3m,pct_6m,pct_1y,normalized,pct_ytd
2000-01-03,11.151,,,,,,,100.0,-90.559
2000-01-04,10.8156,-3.0083,,,,,,96.9917,-90.843
2000-01-05,10.6826,-1.2299,,,,,,95.7988,-90.9556
2000-01-06,10.804,1.1369,,,,,,96.8879,-90.8528
2000-01-07,11.313,4.711,,,,,,101.4523,-90.4219
2000-01-10,11.2551,-0.5113,0.9336,,,,,100.9336,-90.4709
2000-01-11,11.1915,-0.5652,3.476,,,,,100.3631,-90.5247
2000-01-12,11.1279,-0.5685,4.1689,,,,,99.7925,-90.5786
2000-01-13,11.1857,0.5198,3.5332,,,,,100.3112,-90.5296
2000-01-14,11.1568,-0.2585,-1.3804,,,,,100.0519,-90.5541
2000-01-18,11.0932,-0.5703,-1.4389,,,,,99.4813,-90.608
2000-01-19,11.0701,-0.2085,-1.0852,,,,,99.2739,-90.6275
2000-01-20,10.9197,-1.3585,-1.8711,,,,,97.9253,-90.7549
2000-01-21,10.6941,-2.0657,-4.3951,,,,,95.9025,-90.9458
2000-01-24,10.295,-3.7317,-7.7242,,,,,92.3236,-91.2837
2000-01-25,10.3587,0.618,-6.6215,,,,,92.8942,-91.2299
2000-01-26,10.4339,0.7259,-5.7471,,,,,93.5685,-91.1662
2000-01-27,10.4049,-0.2772,-4.714,,,,,93.3091,-91.1907
2000-01-28,9.9943,-3.9466,-6.5441,,,,,89.6265,-91.5384
2000-01-31,10.0695,0.7523,-2.191,,,,,90.3008,-91.4747
2000-02-01,10.4339,3.6186,0.7259,,,,,93.5685,-91.1662
2000-02-02,10.3644,-0.6652,-0.6652,-7.0539,,,,92.9461,-91.225
2000-02-03,10.4049,0.3906,0.0,-3.7968,,,,93.3091,-91.1907
2000-02-04,10.3876,-0.1667,3.9352,-2.7613,,,,93.1535,-91.2054
2000-02-07,10.1678,-2.1158,0.9765,-5.8886,,,,91.1826,-91.3914
2000-02-08,10.3991,2.2753,-0.3326,-8.0777,,,,93.2573,-91.1956
2000-02-09,10.2256,-1.6685,-1.3393,-9.1469,,,,91.7013,-91.3425
2000-02-10,10.1331,-0.905,-2.6125,-9.4574,,,,90.8714,-91.4208
2000-02-11,9.9885,-1.4269,-3.8418,-10.2391,,,,89.5747,-91.5432
2000-02-14,10.0406,0.5211,-1.2514,-10.2378,,,,90.0415,-91.4992
2000-02-15,10.0637,0.2304,-3.2258,-9.7978,,,,90.249,-91.4796
2000-02-16,9.6704,-3.9081,-5.43,-12.8259,,,,86.7219,-91.8126
2000-02-17,9.3928,-2.8708,-7.306,-15.1516,,,,84.2323,-92.0476
2000-02-18,9.254,-1.4778,-7.3538,-15.2542,,,,82.9875,-92.1651
2000-02-22,9.2771,0.25,-7.6037,-13.2504,,,,83.195,-92.1456
2000-02-23,9.2482,-0.3118,-8.1035,-10.1685,,,,82.9356,-92.17
2000-02-24,8.9532,-3.1895,-7.4162,-13.5679,,,,80.2904,-92.4198
2000-02-25,8.9879,0.3876,-4.3103,-13.8581,,,,80.6016,-92.3904
2000-02-28,9.3118,3.6036,0.625,-10.5058,,,,83.5062,-92.1162
2000-02-29,9.5085,2.1118,2.4938,-4.8611,,,,85.2697,-91.9497
2000-03-01,9.3986,-1.1557,1.626,-6.6628,,,,84.2842,-92.0427
2000-03-02,9.387,-0.1231,4.845,-10.0333,,,,84.1805,-92.0525
2000-03-03,9.5605,1.8485,6.3707,-7.7567,,,,85.7365,-91.9056
2000-03-06,9.3349,-2.3594,0.2484,-10.2835,,,,83.7137,-92.0966
2000-03-07,9.0747,-2.7881,-4.5621,-12.6392,,,,81.3797,-92.3169
2000-03-08,9.1846,1.211,-2.2769,-9.6701,,,,82.3651,-92.2239
2000-03-09,9.3696,2.0151,-0.1848,-9.8999,,,,84.0249,-92.0672
2000-03-10,9.2424,-1.358,-3.3273,-9.6154,,,,82.8838,-92.1749
2000-03-13,9.1672,-0.8135,-1.7967,-9.5319,,,,82.2096,-92.2386
2000-03-14,9.1846,0.1893,1.211,-8.0487,,,,82.3651,-92.2239
2000-03-15,9.7398,6.0454,6.0454,-2.9954,,,,87.3444,-91.7538
2000-03-16,10.457,7.3634,11.605,3.908,,,,93.7759,-91.1466
2000-03-17,10.4832,0.2505,13.4249,8.4049,,,,94.0108,-91.1244
2000-03-20,10.3847,-0.9397,13.2805,10.5601,,,,93.1274,-91.2078
2000-03-21,10.5006,1.116,14.3284,13.4709,,,,94.1667,-91.1097
2000-03-22,10.4542,-0.4415,7.3348,12.6882,,,,93.751,-91.149
